"vowel","i_y","i_z","i_x"
"i",0.222807289092064,0.941221927409499,0.105406489554122
"i",0.078861277249621,0.998299463044652,0.165808584667349
"i",0.189438569703138,1.00572241822264,0.148896351251951
"i",0.237259981193876,0.888531129152756,0.100368230581342
"i",0.269353864499764,0.848007983596087,0.060746669875856
"i",0.267094734224229,0.928717864935201,0.090422448155871
"i",0.215220239980385,0.989336704489853,0.091947202216082
"i",0.171412510146693,0.934010414510053,0.108403284797793
"i",0.093856583848426,1.04303051689963,0.110250763598539
"i",0.255816840523471,0.905302849532159,0.075847301024447
"i",0.226956621979219,0.961285908527025,0.122144784132592
"i",0.27838918559194,0.905334318075286,0.085278461371798
"i",0.257503010763285,0.849523127032907,0.1081098882695
"i",0.209108314633492,0.965879064004529,0.143884622802444
"i",0.209318311672246,0.943590223642182,0.126240753189742
"i",0.246669064250896,0.894173965894938,0.127700306638115
"i",0.349636697270196,0.868395740122159,0.074673549367405
"i",0.22682659978051,0.961953886472353,0.077484105142772
"i",0.230287671830644,0.955192742007942,0.086158869400547
"i",0.237873290859116,0.969265304716092,0.123803387205181
"i",0.273455968904339,0.869205524209409,0.137447649628564
"i",0.212124841684836,0.955907793654028,0.13717052025604
"i",0.188328065621274,0.944340216829178,0.16936495279553
"i",0.221779973067209,0.829963215558111,0.165639036468401
"i",0.225017442387697,0.940376742594271,0.090781854766185
"i",0.276004117834787,0.816521312913479,0.105423602569516
"i",0.21155230229598,0.950216941377646,0.132002941915508
"i",0.272272138799512,0.900932795081934,0.09357086423564
"i",0.319198300413619,0.790869753505265,0.090245427389253
"i",0.229153627743636,0.903993234473045,0.117246497619776
"i",0.247806207382892,0.843721522761636,0.120533385024944
"i",0.231446630107332,0.89700769483527,0.124012789177346
"i",0.230458114119087,0.957373307445419,0.049179173142233
"i",0.251387444604424,0.860306680188687,0.11683573281111
"i",0.210659436906241,0.958825947231598,0.065594280830139
"i",0.255229794757551,0.916842838796534,0.124127587591539
"i",0.220451849986324,0.977213660730266,0.116919723580958
"i",0.276479919599494,0.880086941365405,0.048473379484453
"i",0.24916106096021,0.957798225418149,0.102712588840005
"i",0.277517154905761,0.829992342445809,0.13790593510859
"i",0.215008846032446,0.973727605190342,0.11024623297811
"i",0.283402713314396,0.913275124774169,0.108836917021154
"i",0.306304968926127,0.857709464348012,0.125055265489311
"i",0.259076452359221,0.903612358327924,0.093293589821953
"i",0.166746817753984,0.943263830555789,0.15210520002978
"i",0.176455481635447,0.916139057370247,0.177152898359778
"i",0.296386861699885,0.85096619456621,0.104768510055524
"i",0.22988917384503,0.923148048081601,0.077134925792598
"i",0.269851345464379,0.85519689377006,0.138244107909576
"i",0.253984857989841,0.877135568758058,0.139467512393887
"i",0.232035025656059,0.841616287332416,0.169895192612255
"i",0.32900343087777,0.871481032820702,0.077598363812913
"i",0.211464949504925,0.956049122266604,0.114407344967621
"i",0.254521098127833,0.894028100624745,0.096488863263055
"i",0.257798801668358,0.845648387954816,0.038056064851467
"i",0.258049731360665,0.940356262219259,0.073711388358099
"i",0.254890222976192,0.869952595036509,0.100641115652167
"i",0.322316752829448,0.857023058276375,0.100196925355553
"i",0.203114436722782,0.849546590111445,0.132530786318636
"i",0.225367613205192,0.820992068834442,0.139366046530161
"i",0.234518412823759,0.874888825331137,0.164980172567505
"i",0.257984072668788,0.95175216918426,0.106014871302366
"i",0.2374044193104,0.910864620450832,0.073612141999049
"i",0.296918624467597,0.876444486523106,0.152895014982698
"i",0.317955277624207,0.84868833051302,0.121729222720282
"i",0.238940980146622,0.948126751099983,0.079255385903844
"i",0.179790895006682,0.929424752235068,0.073794167037779
"i",0.216207337884851,0.955124571468247,0.103139111746044
"i",0.231196801782657,0.898533847597255,0.12329387835075
"i",0.257487655743144,0.858224524017981,0.096780805906577
"i",0.254966178431825,0.906023367403689,0.123124779737278
"i",0.246328756594143,0.994090273060022,0.044700007219484
"i",0.154532952176001,0.946659437439947,0.160229194272034
"i",0.229042304051496,0.914593387073783,0.097009645621636
"i",0.268535391399139,0.927982744557052,0.117884301909588
"i",0.232980785200421,0.86704126970945,0.106147496090181
"i",0.200271637799008,0.944428055652489,0.115792626288811
"i",0.309176558878152,0.887282802818226,0.132342958647652
"i",0.194893546656948,0.936197920488031,0.138158060116389
"i",0.201619189327427,0.938290008919082,0.126539845841335
"i",0.223520318547811,0.966321127621937,0.082426280874309
"i",0.269412728188398,0.85780239845776,0.132489024535709
"i",0.236266276790302,0.929345838780833,0.108128972623108
"i",0.214446228642404,0.929106417709067,0.12551394482351
"i",0.22168368972246,0.894164983376803,0.115630312651663
"i",0.244746794534649,0.936739826699107,0.110922807995089
"i",0.20503082547863,1.00980793889748,0.125721081420156
"i",0.326336313978994,0.839927394280935,0.09859433223513
"i",0.136168177078719,0.914666718604306,0.119711464103764
"i",0.177534561297445,1.01718453714275,0.121480524045438
"i",0.287422841017524,0.822330928106671,0.126997026641745
"i",0.262340400941689,0.901458919981258,0.095415257677642
"i",0.246996360726415,0.920526354785503,0.123548057809089
"i",0.232886468090726,0.913526769733983,0.077038398400215
"i",0.185821392081686,1.04192458818724,0.098751284427131
"i",0.222656248969979,0.907223070091741,0.125752462790587
"i",0.181106271062522,0.913763373128703,0.157762115352323
