a_y,a_z,a_x,i_y,i_z,i_x,u_y,u_z,u_x
0.6600463436,0.2217809574,0.3354895182,0.1522082731,0.9961690767,0.0793613641,0.2635705476,0.3870052902,0.5241389593
0.6245968823,0.2386197464,0.2602040038,0.1655431129,0.9325236127,0.1259216719,0.2421968721,0.3872641267,0.4810289709
0.5014834014,0.3225575725,0.3487694065,0.2522217469,0.8989824838,0.1089152218,0.2869739226,0.3414290029,0.5854983627
0.5275915978,0.3679882814,0.1450852278,0.2993233037,0.8204541356,0.1244182615,0.3549713927,0.4944380379,0.3366239024
0.6908190372,0.2664876026,0.3458835671,0.1541544266,1.0096099554,0.1164707342,0.2358548941,0.4377154015,0.4762423304
0.6586748721,0.2165296901,0.3125284527,0.3100100767,0.8350695201,0.107501491,0.3409822936,0.3077675997,0.549141786
0.6202871081,0.2654773112,0.296444589,0.2305586323,0.9300001787,0.1283218047,0.2073605563,0.4584654865,0.5147168617
0.6502199941,0.2435649398,0.2836076303,0.2806287886,0.8684961802,0.1054492984,0.2390156511,0.3658727666,0.5914419012
0.6664613776,0.1938139208,0.3635220495,0.2361258118,0.9197207742,0.0831940881,0.2995630319,0.2736788187,0.5912990935
0.6944802766,0.1357748281,0.2888400326,0.2250077492,0.906933267,0.1097910144,0.2949265145,0.3373239784,0.505673005
0.6972690975,0.1684643396,0.2949213928,0.1186435843,1.0316126878,0.1179232088,0.2383983208,0.3676599664,0.5238867621
0.4200207058,0.3778749973,0.3603557074,0.0917083064,1.055939422,0.1268689977,0.199851432,0.3629652587,0.666776262
0.5776321164,0.3400481779,0.3395521594,0.2146905485,0.8866687587,0.1328008025,0.2666600295,0.3860352956,0.4759333165
0.5605232817,0.2398701313,0.372716951,0.1517418954,0.9280711563,0.1448840666,0.1613307986,0.4439609476,0.5171437532
0.6560486104,0.1707128643,0.3402760447,0.171761552,0.9570815595,0.1417262321,0.2540401311,0.3062408923,0.5637931643
0.670762017,0.2285293917,0.3257987402,0.2762982918,0.8465437027,0.1379445676,0.3425404607,0.3266892732,0.5265643244
0.5922691186,0.2390397262,0.341988489,0.2941929896,0.8130315134,0.1338475644,0.3349773375,0.2327295663,0.5573407177
0.5825200842,0.2113808365,0.3829700878,0.2542290674,0.8635558229,0.127050153,0.2863940466,0.2534683062,0.6187849643
0.6466561114,0.1623923666,0.3494887453,0.186721476,0.9392821365,0.129586248,0.1765111954,0.4339998429,0.5316671123
0.6347016004,0.219478623,0.3623433148,0.2323911668,0.931574565,0.1204131347,0.2493758035,0.3517267629,0.5388889246
0.5695880622,0.2407296679,0.3048820321,0.1712102762,0.9139582303,0.1039385594,0.241535799,0.4266518987,0.4256160291
0.5601547552,0.3036971874,0.3271339536,0.2588119414,0.921978516,0.1066356271,0.3040262369,0.3459206238,0.4700082095
0.7150609659,0.2439318679,0.2813797432,0.168089841,0.9862092781,0.1073220216,0.2824737406,0.3209433988,0.6105238047
0.6114122994,0.2916776461,0.3083570629,0.237039898,0.9124447141,0.1260479554,0.2371640316,0.3199810902,0.5532289011
0.6599307859,0.2285690723,0.2798597453,0.2526470241,0.9063836647,0.1170829687,0.3360282708,0.206250478,0.5978700424
0.4682335913,0.2758412485,0.3037236839,0.1345831141,0.9716318107,0.1417428009,0.1474499671,0.4392604867,0.5203399561
0.64890642,0.2302404037,0.313328897,0.2729426052,0.865157604,0.109441613,0.3022269128,0.3263732754,0.5088810797
0.6003198444,0.2603751566,0.2899290184,0.1393451404,0.9702790287,0.1002150453,0.1614074723,0.4798554146,0.4618667452
0.5279427723,0.3004448108,0.3382991161,0.1458517505,1.0262267678,0.070665027,0.2549461169,0.3847504804,0.4981803384
0.6285496587,0.2466727933,0.2951774468,0.18417666,0.9841217978,0.1381824942,0.2821624006,0.3626270705,0.5350649892
0.6400426328,0.2356581258,0.3565753047,0.2125824748,0.8981239059,0.1427769375,0.197243527,0.4400223578,0.4537147712
0.5274621272,0.2176654034,0.4336206017,0.2052379819,0.9292192596,0.1121916534,0.1716060736,0.372755402,0.615545789
0.7117941528,0.2248267427,0.2851606989,0.3391042013,0.8240345432,0.1052793348,0.3458506426,0.3071675554,0.577373355
0.6508369779,0.2136368533,0.3193617714,0.275894113,0.8624737178,0.1278488719,0.3303039719,0.286909685,0.5275273117
0.6772814197,0.2600094082,0.2142016304,0.2047597384,0.9255619924,0.1344047107,0.291683594,0.3778868307,0.4539819419
0.6667591217,0.1518043331,0.3490771412,0.3156497673,0.8517337236,0.1081979193,0.2697306229,0.2847574388,0.6046795787
0.6357436431,0.1343415011,0.4047555776,0.2379697582,0.907842649,0.105708461,0.2514862135,0.279365533,0.607788777
0.602031945,0.2670844495,0.304248523,0.3892341239,0.7611512995,0.0820735312,0.3768293952,0.2688223192,0.5120794733
0.5834366018,0.2531672586,0.2594047996,0.2335221008,0.898033335,0.078366273,0.3385559438,0.2432819786,0.5446088895
0.6412157835,0.2110393297,0.3691022131,0.2190050844,0.9513138441,0.1015590296,0.2949942759,0.2738296049,0.5927195403
0.692431003,0.1690290188,0.3493445475,0.2549733495,0.8783645474,0.1246646761,0.2835960108,0.3682954106,0.4568043359
0.6134045936,0.2637968535,0.2857018106,0.2900982645,0.827472874,0.0820100751,0.2948481271,0.4031045057,0.4666995559
0.4979007728,0.289876945,0.3390769336,0.1307654196,1.0262013309,0.1248628639,0.2771249772,0.373091875,0.4764432012
0.6874741822,0.2237011889,0.2974328621,0.2707513302,0.8978454798,0.0926128948,0.2823165721,0.3629340121,0.5617548412
0.5990337718,0.3190798549,0.2872603415,0.1209372517,1.0532499232,0.0975122319,0.1413664067,0.5464343664,0.4176978847
0.642756809,0.2137136207,0.3312697776,0.2600572802,0.8940382336,0.1121184387,0.2402315006,0.3860169242,0.5595651913
0.5849002706,0.2262717095,0.351804328,0.151571755,0.8783624804,0.1538671075,0.1669867372,0.4278384714,0.5014617639
0.6467074155,0.183626362,0.3898411793,0.236587341,0.9355383834,0.0911407356,0.277882755,0.2358674565,0.6882272266
0.6582112013,0.2635715232,0.2904920679,0.242347496,0.9108533369,0.1261904686,0.265543376,0.3727723016,0.5601624644
0.6283748224,0.2668562917,0.2903844568,0.1790981185,0.950148079,0.1352302613,0.2588957772,0.31162039,0.6471816301
