session_id	gender	pitch_variant	vowel	f0	f1	f2	f3	sr	log_f1_sr	log_f2_f1	log_f3_f2
1352	f	n	a	214.1523200791	613.6337572117	1012.9188341278	2749.12981675	182.1575245499	0.5274621272	0.2176654034	0.4336206017
1352	f	n	i	232.7747919706	300.4388923133	2552.5567813376	3304.9665259394	187.2915441289	0.2052379819	0.9292192596	0.1121916534
1352	f	n	u	223.3245466623	274.2359680663	646.9635558805	2669.4734516066	184.7218806628	0.1716060736	0.372755402	0.615545789
1353	f	n	a	213.2240076332	936.7255681399	1571.9514089527	3031.0968707072	181.8939364249	0.7117941528	0.2248267427	0.2851606989
1353	f	n	i	219.1748102134	400.7811331033	2672.6482957481	3405.8157288087	183.5705746937	0.3391042013	0.8240345432	0.1052793348
1353	f	n	u	220.2440056743	407.7164143123	827.0385465071	3125.3532138584	183.8685933231	0.3458506426	0.3071675554	0.577373355
1355	f	n	a	215.1777292174	816.5365053942	1335.4033428429	2785.9558549122	182.447798713	0.6508369779	0.2136368533	0.3193617714
1355	f	n	i	227.1650579181	350.6556256804	2554.7860058845	3429.2835840088	185.7747552305	0.275894113	0.8624737178	0.1278488719
1355	f	n	u	225.7356343254	396.6220609347	767.8679693101	2587.1038577324	185.3842759262	0.3303039719	0.286909685	0.5275273117
1356	f	n	a	240.8568866319	901.0328612076	1639.6457907871	2685.0456197984	189.4345586932	0.6772814197	0.2600094082	0.2142016304
1356	f	n	i	243.4399589205	304.6233676166	2566.4050864321	3497.2760841455	190.109349802	0.2047597384	0.9255619924	0.1344047107
1356	f	n	u	245.1207615515	372.9779414129	890.3688924678	2532.5143810558	190.5458759231	0.291683594	0.3778868307	0.4539819419
1357	f	n	a	221.2032354255	854.8615840836	1212.5513353337	2708.8020870685	184.1351413133	0.6667591217	0.1518043331	0.3490771412
1357	f	n	i	223.5720771579	382.233261084	2716.8283426079	3485.4601244107	184.7901033703	0.3156497673	0.8517337236	0.1081979193
1357	f	n	u	226.2910491964	345.2703375448	665.1455779703	2676.6789700536	185.5361953042	0.2697306229	0.2847574388	0.6046795787
1359	f	n	a	234.5911953371	811.6841527649	1105.9323655699	2808.5628417587	187.7774442876	0.6357436431	0.1343415011	0.4047555776
