"vowel","u_y","u_z","u_x"
"u",0.325133327119116,0.39071191841444,0.564873272512114
"u",0.196577821388194,0.478268345062474,0.519271732321108
"u",0.192734085882889,0.437074398401279,0.46135699300777
"u",0.292526806090794,0.397959272748393,0.446038689725365
"u",0.255730575941971,0.447126502385564,0.475512297264927
"u",0.298005157419579,0.365110958168432,0.428208333468129
"u",0.28861765795591,0.439003081824848,0.453178682508914
"u",0.243277021093175,0.328845989722347,0.500764366601003
"u",0.358746776032718,0.384035965302525,0.43509676817267
"u",0.248761335766123,0.372649835558985,0.527763012686517
"u",0.288274844312109,0.389079812881321,0.520303589201444
"u",0.265518692423787,0.382666536993577,0.532103365131551
"u",0.316333797579131,0.35089032181592,0.528168491823334
"u",0.267729665244763,0.357471661429333,0.534048035532021
"u",0.358397383932691,0.380344168859819,0.544184914742461
"u",0.190391759427865,0.473067566784969,0.435895084137425
"u",0.282045091646077,0.400558645623535,0.449186996386941
"u",0.254935863534906,0.392580420535354,0.524107025896593
"u",0.333414805641646,0.363772770857817,0.528808141034811
"u",0.26516541831333,0.446815182758534,0.430588548733858
"u",0.357199054275975,0.364939251865622,0.499984024050849
"u",0.32702561021366,0.391559227114283,0.45874852670412
"u",0.250195704954236,0.445404795575577,0.526734119308657
"u",0.255859567854909,0.343069416278512,0.488148369641166
"u",0.250489213143336,0.40684985379649,0.472985243933996
"u",0.31113278008657,0.358739300673715,0.456303551030836
"u",0.307104760330556,0.368375962135118,0.436285171584703
"u",0.280560111808481,0.247264804355301,0.605310733871257
"u",0.298519132169328,0.363811688046496,0.570343634163903
"u",0.273909496150236,0.427638758941152,0.420328460962175
"u",0.275036174278958,0.373588658233829,0.575735638997317
"u",0.298409272106467,0.402837247272501,0.497910175119165
"u",0.230732272257607,0.380570021332604,0.536994860402514
"u",0.249033432117873,0.429467269719587,0.516557656371623
"u",0.413866676479755,0.299517040401467,0.506733720862733
"u",0.243232799022858,0.433448307959799,0.464574563350387
