"u_y","u_z","u_x"
0.2335962644,0.6382431033,0.2827535522
0.297140458,0.3579725236,0.5587417025
0.1467857679,0.4333444231,0.6007679086
0.1886170739,0.4059091639,0.4873855516
0.1970338342,0.3886916237,0.5245525566
0.2693703687,0.3842468144,0.5260091036
0.3341338336,0.3308107374,0.5733965145
0.3048581915,0.2210562772,0.614070331
0.4201389763,0.5992139429,0.2402729981
0.2022343222,0.4294712175,0.4973770461
0.2198719956,0.379736148,0.5773958436
0.235817122,0.3620941491,0.5089355023
0.3441691919,0.2611876205,0.5797473475
0.3007292359,0.3563662676,0.5362042563
0.3717270079,0.2415964309,0.5474013616
0.4215091668,0.563244046,0.2727890755
0.326869196,0.1721866616,0.683807865
0.3554282833,0.2074110668,0.5053356816
0.3416291488,0.1388454177,0.6740262627
0.2140690012,0.3466939844,0.5920826269
0.2085330775,0.4188145669,0.480964459
0.3923687544,0.2580758581,0.4851337356
0.2973881713,0.3444607396,0.5340913961
0.1864162973,0.4771182239,0.4785210714
0.1572995088,0.3771815477,0.59719535
0.2792368249,0.3097651911,0.5244898064
0.3320483835,0.4130212819,0.4028080562
0.2822094296,0.3921708714,0.4785529667
0.3290548817,0.2699250408,0.5490994649
0.3688698251,0.3945351398,0.3519912772
0.3307914954,0.2751302598,0.5467770363
0.2380169953,0.3560078824,0.5356238696
0.2990419635,0.3431511757,0.4812063676
0.2320893703,0.3544009964,0.5498475202
0.3423441542,0.2643093848,0.5114038608
0.3057439082,0.2663891677,0.6253012579
0.2836780199,0.3479135633,0.5255700968
0.3635496953,0.187103133,0.6146581729
0.2238406701,0.3786419067,0.515218693
0.2577496407,0.3312366117,0.6274530407
0.3223954021,0.3254674426,0.5236005014
0.365859262,0.3104295702,0.536828977
0.1651912529,0.4156961338,0.5372717263
0.2203061438,0.3998157612,0.5661528729
0.3222477136,0.2213532319,0.5493928944
0.3601653907,0.2501683161,0.5109766014
0.3410363392,0.2933093909,0.5091977725
0.2806219718,0.2707921552,0.5644112597
0.2730865651,0.2880536191,0.6610275932
0.2471283354,0.3305422542,0.5637695664
0.3485827494,0.2426796714,0.5442996174
0.2987024662,0.3583922462,0.5516152514
0.2151191476,0.4128085914,0.5020726884
0.1500013283,0.4422533787,0.4929597078
0.1966423447,0.3894299921,0.5897037567
0.2942160878,0.3685453018,0.5047461758
0.2750150187,0.3074378849,0.620899212
