"i_y","i_z","i_x"
0.1541544266,1.0096099554,0.1164707342
0.3100100767,0.8350695201,0.107501491
0.2305586323,0.9300001787,0.1283218047
0.2806287886,0.8684961802,0.1054492984
0.2361258118,0.9197207742,0.0831940881
0.2250077492,0.906933267,0.1097910144
0.1186435843,1.0316126878,0.1179232088
0.0917083064,1.055939422,0.1268689977
0.2146905485,0.8866687587,0.1328008025
0.1517418954,0.9280711563,0.1448840666
0.171761552,0.9570815595,0.1417262321
0.2762982918,0.8465437027,0.1379445676
0.2941929896,0.8130315134,0.1338475644
0.2542290674,0.8635558229,0.127050153
0.186721476,0.9392821365,0.129586248
0.2323911668,0.931574565,0.1204131347
0.1712102762,0.9139582303,0.1039385594
0.2588119414,0.921978516,0.1066356271
0.168089841,0.9862092781,0.1073220216
0.237039898,0.9124447141,0.1260479554
0.2526470241,0.9063836647,0.1170829687
0.1345831141,0.9716318107,0.1417428009
0.2729426052,0.865157604,0.109441613
0.1393451404,0.9702790287,0.1002150453
0.1458517505,1.0262267678,0.070665027
0.18417666,0.9841217978,0.1381824942
0.2125824748,0.8981239059,0.1427769375
0.2052379819,0.9292192596,0.1121916534
0.3391042013,0.8240345432,0.1052793348
0.275894113,0.8624737178,0.1278488719
0.2047597384,0.9255619924,0.1344047107
0.3156497673,0.8517337236,0.1081979193
0.2379697582,0.907842649,0.105708461
0.3892341239,0.7611512995,0.0820735312
0.2335221008,0.898033335,0.078366273
0.2190050844,0.9513138441,0.1015590296
0.2549733495,0.8783645474,0.1246646761
0.2900982645,0.827472874,0.0820100751
0.1307654196,1.0262013309,0.1248628639
0.2707513302,0.8978454798,0.0926128948
0.1209372517,1.0532499232,0.0975122319
0.2600572802,0.8940382336,0.1121184387
0.151571755,0.8783624804,0.1538671075
0.236587341,0.9355383834,0.0911407356
0.242347496,0.9108533369,0.1261904686
0.1790981185,0.950148079,0.1352302613
0.2380193857,0.9008522184,0.1056144375
0.152254463,1.0139960606,0.0847450606
0.174201055,0.8196402511,0.2542893082
0.1614973318,0.928925907,0.1712844798
0.3376183612,0.8088203354,0.0970254911
0.1438021246,0.9774127374,0.0865404476
0.3740809239,0.7568095204,0.1032488934
0.2103813279,0.9309028561,0.0658428718
0.2753488524,0.8532263532,0.1151057997
0.3008042767,0.7827754181,0.1248455021
0.2658383618,0.8753154727,0.101293817
0.2795207319,0.8629505553,0.112135703
0.1262738758,1.0468978346,0.1245644933
0.2381662369,0.9048917532,0.112605431
0.1876875698,0.9256575988,0.1366467027
0.1994271272,0.9527522956,0.1125416181
0.237527162,0.903467098,0.1078391598
0.2495139136,0.7987354199,0.1208811234
0.3148865703,0.8086784861,0.0984637867
0.2182687021,0.8956255036,0.0925167823
0.3295213829,0.833331306,0.1016358963
0.2027580471,0.9235385607,0.1286860149
0.3174689042,0.819928,0.1015414271
0.2811545577,0.7481200791,0.1534170629
0.2246762955,0.9144762342,0.1202379133
0.2929398198,0.8563109021,0.0800918436
0.3352208969,0.7679482925,0.0915512163
0.2708155075,0.8963772373,0.0927198652
0.2803673824,0.8872218124,0.116245377
0.2873943558,0.8470064284,0.1112670046
0.164920565,0.9717639577,0.1456305504
0.2191851606,0.9344983586,0.1017334497
0.2039569915,0.9488695429,0.1013374709
0.2644021241,0.8435617378,0.1343983599
0.2747988709,0.8704161941,0.0825392052
0.1853263593,0.9527063833,0.1339466037
0.2768619732,0.9319742649,0.0717308191
0.2336401563,0.9614672119,0.0993841524
0.3029749588,0.8488741456,0.1147355596
0.1365790971,1.0081692977,0.1251799507
0.1533492249,0.9838739136,0.1290484654
0.1622399413,0.9158774848,0.0960716836
0.3020602579,0.8204941431,0.0989326797
0.1948847818,0.991586676,0.1246495186
0.3314922485,0.8394746377,0.0771347478
0.2529785045,0.914829196,0.1252785813
0.1912024334,0.9439503295,0.1208532321
0.1960219516,0.9558114223,0.1267910137
0.2139880951,0.9145104191,0.1331566342
0.2369115313,0.8483246369,0.1780638683
0.315473779,0.8713848887,0.1173166457
0.2379411613,0.8664382039,0.106871103
0.1755600418,0.9196892611,0.1027742049
0.1846349657,0.9723748141,0.106081402
0.2940615336,0.8673191154,0.1134100583
0.1421344307,1.0008323613,0.0991143812
0.171523328,0.9232640822,0.1467460681
0.3399330179,0.7982754161,0.1062242415
0.1914514769,0.9483775187,0.1415967686
0.1617589114,0.9958944174,0.1275436885
0.1581408204,0.9987326881,0.0960941172
0.3133088334,0.8612714146,0.0961839783
0.2264168571,0.86639237,0.1555661177
0.1961654444,0.941855257,0.1094440695
0.2679472306,0.8859629032,0.1358442698
0.201188843,0.9502346642,0.086044783
0.2828774502,0.8996398833,0.0850697399
0.1527765932,1.0354431318,0.0726898164
0.3086858222,0.8859226316,0.1200370854
0.2145918876,0.9447199595,0.1288589661
