"a_y","a_z","a_x"
0.5601547552,0.3036971874,0.3271339536
0.7150609659,0.2439318679,0.2813797432
0.6114122994,0.2916776461,0.3083570629
0.6599307859,0.2285690723,0.2798597453
0.4682335913,0.2758412485,0.3037236839
0.64890642,0.2302404037,0.313328897
0.6003198444,0.2603751566,0.2899290184
0.5279427723,0.3004448108,0.3382991161
0.6285496587,0.2466727933,0.2951774468
0.6400426328,0.2356581258,0.3565753047
0.5274621272,0.2176654034,0.4336206017
0.7117941528,0.2248267427,0.2851606989
0.6508369779,0.2136368533,0.3193617714
0.6772814197,0.2600094082,0.2142016304
0.6667591217,0.1518043331,0.3490771412
0.6357436431,0.1343415011,0.4047555776
0.602031945,0.2670844495,0.304248523
0.5834366018,0.2531672586,0.2594047996
0.6412157835,0.2110393297,0.3691022131
0.692431003,0.1690290188,0.3493445475
0.6134045936,0.2637968535,0.2857018106
0.4979007728,0.289876945,0.3390769336
0.6874741822,0.2237011889,0.2974328621
0.5990337718,0.3190798549,0.2872603415
0.642756809,0.2137136207,0.3312697776
0.5849002706,0.2262717095,0.351804328
0.6467074155,0.183626362,0.3898411793
0.6582112013,0.2635715232,0.2904920679
0.6283748224,0.2668562917,0.2903844568
0.5070294545,0.2972658485,0.2652192048
0.6995141465,0.2101812496,0.3218305888
0.6584641272,0.2042994702,0.2309509778
0.5955578396,0.2687585859,0.3425583737
0.6809887578,0.1753417599,0.3349384399
0.5576232396,0.3030581206,0.3471220051
0.5937051219,0.210391336,0.384486233
0.6210559749,0.2616234777,0.3021929136
0.5969144732,0.2085898933,0.3695009535
0.6742784576,0.197516888,0.3076490888
0.552258094,0.2484713903,0.3255758763
0.6395797273,0.2043425262,0.3207176784
0.4598131141,0.3283518569,0.3551338599
0.6735727367,0.1760913086,0.3541384103
0.6874211966,0.2072370209,0.2824275196
0.6571908172,0.1343070986,0.3536528503
0.6643973467,0.1734016208,0.3699766856
0.6031777899,0.2247535407,0.2905839639
0.6626099361,0.2266122387,0.2577892702
0.6691266552,0.186063023,0.2447676598
0.5474365993,0.3189726639,0.3629698788
0.5941508807,0.2091851109,0.3857136776
0.6267552,0.2381992385,0.3320090103
0.6457662961,0.2112893041,0.2708217382
0.612287005,0.2593431468,0.2890264323
0.6910089943,0.1904857507,0.2985453247
0.7196501155,0.2146960173,0.3475708885
0.6261149048,0.2303925094,0.3170411588
0.6298900039,0.3004165821,0.285214672
0.6745167781,0.219728403,0.2957442658
0.6594788023,0.2126707693,0.3257398935
0.5162782675,0.2284053668,0.4187437502
0.5832104378,0.2714031799,0.3305663309
0.6767063899,0.1872858242,0.2936896886
0.5889279382,0.2367160256,0.3408666456
0.6541365583,0.1742807413,0.3509702431
0.6647967216,0.2071328979,0.3486830855
0.7024382509,0.1338000175,0.4201782174
0.5933095258,0.1819561422,0.3768224565
0.6356046831,0.2428900154,0.2958403443
0.6952051035,0.1539345211,0.3256342282
0.6403481263,0.2655046273,0.319807336
0.6499348457,0.199815315,0.3032928471
0.7092360317,0.1271462025,0.4263873259
0.5947905058,0.1629172062,0.413122637
0.714084268,0.1920218995,0.31699095
0.6071539927,0.2626336593,0.2918790877
0.7025451896,0.1762164655,0.2825678903
0.6218123065,0.2901512807,0.3008689015
0.6698866376,0.2343300813,0.2828005132
0.6434179482,0.1919569048,0.3642175535
0.6108390675,0.1713213111,0.3886931971
0.6387335544,0.1922204972,0.3136158467
0.6809262401,0.1548203547,0.3633068615
0.7624525471,0.1709244626,0.3029610798
0.5639211633,0.243118031,0.3998292453
0.6225549953,0.1514290882,0.2578771388
0.5803863956,0.3073040803,0.2920961582
0.6980516331,0.1901522618,0.2839323761
0.6699605172,0.245277582,0.2692452188
0.624014171,0.2048903739,0.2963541327
0.633446133,0.2649154761,0.2549226871
0.5355248532,0.2198250588,0.4404439696
0.6725890622,0.2127549209,0.2930870895
0.4759996372,0.3907904532,0.322257141
